総回転数,回転数,大当たり,差玉
372,372,3R（通常）,-4464
431,58,3R（通常）,-4710
583,151,3R（通常）,-6072
1018,434,3R（確変）,-10830
1040,21,10R（確変）,-10380
1368,313,3R（通常）,-12636
1683,314,3R（通常）,-15954
1797,113,3R（通常）,-16860
2597,799,3R（通常）,-25998
2801,203,3R（確変）,-27984
2825,23,10R（確変）,-27534
2850,24,10R（確変）,-26034
2888,37,10R（確変）,-24534
2931,34,3R（確変）,-23442
2942,10,10R（確変）,-22992
2961,18,10R（確変）,-21492
2999,37,10R（確変）,-19992
3026,26,10R（確変）,-18492
3029,2,10R（確変）,-16992
3043,13,10R（確変）,-15492
3062,18,10R（確変）,-13992
3097,34,10R（確変）,-12492
3118,20,10R（確変）,-10992
3167,48,10R（確変）,-9492
3191,23,10R（確変）,-7992
3234,0,10R（確変）,-6492
3252,17,10R（確変）,-4992
3266,13,10R（確変）,-3492
3296,29,10R（確変）,-1992
3306,9,10R（確変）,-492
3341,34,10R（確変）,1008
3573,217,3R（通常）,-96
3698,124,10R*2（確変）,-1134
3722,23,10R（確変）,1866
3785,26,3R（確変）,3054
3791,5,10R（確変）,3504
3836,44,10R（確変）,5004
4087,250,3R（通常）,4344
4130,42,3R（確変）,4290
4138,7,10R（確変）,4740
4141,2,10R（確変）,6240
4166,24,10R（確変）,7740
4213,46,10R（確変）,9240
4246,32,10R（確変）,10740
4473,226,3R（確変）,10368
4497,23,10R（確変）,10818
4534,36,10R（確変）,12318
5486,951,3R（通常）,3246
6052,565,10R*2（確変）,-3084
6083,30,10R（確変）,-84
6094,10,10R（確変）,1416
6242,94,3R（通常）,1788
6687,444,3R（通常）,-3090
6780,92,3R（通常）,-3744
7286,505,3R（通常）,-9354
7340,53,3R（通常）,-9540
7559,218,10R*2（確変）,-11706
7582,22,10R（確変）,-8706
7639,56,10R（確変）,-7206
7724,51,10R*2（確変）,-6318
7753,3,3R（確変）,-3354
7799,45,10R（確変）,-2904
7800,0,10R（確変）,-1404
7806,5,10R（確変）,96
7815,8,10R（確変）,1596
7876,60,10R（確変）,3096
7911,34,10R（確変）,4596
7958,46,10R（確変）,6096
7977,18,10R（確変）,7596
7996,18,10R（確変）,9096
8022,25,10R（確変）,10596
8031,8,10R（確変）,12096
8052,20,10R（確変）,13596
8115,62,10R（確変）,15096
8116,0,10R（確変）,16596
8125,8,10R（確変）,18096
8138,12,10R（確変）,19596
8206,67,10R（確変）,21096
8658,451,3R（通常）,18024
8702,43,3R（通常）,17958
10439,1736,3R（確変）,-2424
10473,33,10R（確変）,-1974
11216,742,3R（確変）,-8538
11252,35,10R（確変）,-8088
11264,11,10R（確変）,-6588
11334,69,10R（確変）,-5088
11346,11,10R（確変）,-3588
11882,515,3R（確変）,-8268
11900,17,10R（確変）,-7818
11911,0,10R（確変）,-6318
11937,1,3R（通常）,-4830
12398,460,10R*2（確変）,-9900
12439,40,10R（確変）,-6900
12484,44,10R（確変）,-5400
12493,8,10R（確変）,-3900
13494,1000,3R（通常）,-13560
13535,40,3R（確変）,-13590
13618,82,10R（確変）,-13140
13636,17,10R（確変）,-11640
14006,369,10R*2（確変）,-13728
14113,96,3R（確変）,-11880
14116,2,10R（確変）,-11430
14123,6,10R（確変）,-9930
14160,36,10R（確変）,-8430
14197,36,10R（確変）,-6930
14219,21,10R（確変）,-5430
14244,24,10R（確変）,-3930
14246,1,10R（確変）,-2430
14253,6,10R（確変）,-930
14254,0,10R（確変）,570
14260,5,10R（確変）,2070
14284,23,10R（確変）,3570
14450,165,3R（通常）,3930
14698,247,3R（通常）,1416
14934,235,3R（通常）,-954
14974,39,3R（確変）,-972
14975,0,10R（確変）,-522
15260,274,3R（確変）,-2310
15284,23,10R（確変）,-1860
15340,55,10R（確変）,-360
15409,68,10R（確変）,1140
15492,61,3R（通常）,1908
16259,766,10R*2（確変）,-6834
16260,0,10R（確変）,-3834
16271,0,10R*2（確変）,-2334
16308,36,10R（確変）,666
16348,39,10R（確変）,2166
16468,96,3R（通常）,2514
17200,731,3R（確変）,-5808
17225,24,10R（確変）,-5358
17248,22,10R（確変）,-3858
17264,15,10R（確変）,-2358
17269,4,10R（確変）,-858
17432,148,3R（通常）,-1134
18150,717,3R（通常）,-9288
18179,28,3R（確変）,-9174
